SNR_dB,Latency_ms,Signal_Power_dBm,Channel_Type,Modulation_Type
29.717020896652016,238.91250797546803,11.354473799777786,AWGN,16QAM
21.95032386029684,99.21622167485049,-4.7099386961314735,Rician,16QAM
29.67759415014379,159.327946115545,11.393552241799185,Rayleigh,16QAM
27.734364387968057,69.15826133117703,-6.08033087124331,Rician,32QAM
28.252438322695873,229.30413498938574,-9.354345767729457,Rician,16QAM
-1.8005175271815714,170.78413577651594,-4.247728718961646,Rician,BPSK
18.253950222879837,157.66242903882733,-6.644053471204137,AWGN,8PSK
5.323219297171061,116.67371614348947,1.917077603707904,Rician,8PSK
24.44215823290981,287.93330033315146,1.9549858116151313,Rician,16QAM
16.350916517442336,268.27256704035113,-9.163725301142364,Rayleigh,8PSK
3.5417450709045166,132.21216094285032,11.379100696523501,Rician,BPSK
10.937275782532934,192.1658839925584,-3.4040701145801426,AWGN,QPSK
4.051916284563342,83.61281182766754,-3.7389583078777955,Rayleigh,BPSK
17.604415988471832,117.38195585088613,10.92122238313457,AWGN,16QAM
17.70023617308104,206.44161548474577,-4.9218279082073675,Rician,8PSK
15.297212640224402,31.77851689792074,10.819042602676966,Rician,8PSK
23.74339844055225,173.0245383675199,2.340895556838829,Rayleigh,16QAM
6.563074637883407,220.65493130109496,14.898196512978675,Rician,QPSK
28.29970946297935,260.72465684974793,-6.179980922665748,AWGN,16QAM
12.061692442824594,227.17614455428526,11.599438966132698,AWGN,16QAM
-4.079411820905951,228.4161621171494,-0.000136422786770396,AWGN,BPSK
15.713973194874832,128.8522020584428,-2.629336413590649,Rician,8PSK
5.186466245422112,271.8942544218164,-7.881479940550397,Rician,QPSK
14.309796652840781,154.42056423279703,6.9277524503322425,Rayleigh,8PSK
10.264966590254089,34.286629469019886,-5.331397896218598,AWGN,8PSK
12.779808861865074,40.35320566518189,-6.195136692221315,AWGN,8PSK
-0.6318088962406074,181.7862665166221,-7.647237897240818,Rician,BPSK
-3.3427835830316215,224.57675314963507,-7.04402789904181,AWGN,BPSK
14.583380706591495,273.393497690284,-1.5448318593361794,AWGN,8PSK
18.18601056599408,109.11313952222896,0.964215719337373,AWGN,16QAM
26.399113747896244,219.3896054632779,-6.912773125508666,AWGN,16QAM
21.80731373848196,173.52161731515315,-9.63493012201786,AWGN,16QAM
16.204907163745922,153.218546314053,-8.926081059716143,Rician,8PSK
3.851955865807561,119.91815043321554,3.6052375121571707,AWGN,BPSK
29.87150051807169,71.17676966807255,12.656915990791777,AWGN,32QAM
4.004254651142004,86.40183891444089,9.306727061121915,Rician,BPSK
25.985071440006074,57.72150531119686,-2.526534054674203,Rayleigh,16QAM
11.997691917310782,298.7021353528093,-3.21798746815986,AWGN,QPSK
27.742211184078826,296.56807005536405,3.3723547707866235,Rayleigh,16QAM
13.245286543698843,215.3330412028131,-1.2773965263109055,AWGN,8PSK
-4.153474688271361,148.97685827995147,2.4643230397489315,AWGN,BPSK
16.671035847405133,90.46262209704905,-9.052203709597041,Rayleigh,8PSK
7.6548996990857,63.81905616332155,3.774980924213793,Rician,8PSK
15.414042728912204,237.10059904044863,-8.930208832739611,AWGN,8PSK
17.766478394288576,273.47451378365156,8.196737268322714,Rayleigh,8PSK
12.332016920186884,86.47175922667074,-4.324049859326372,Rician,8PSK
25.55610983571724,188.31947005000134,-3.304987517521326,Rayleigh,16QAM
4.906836398745245,44.089268377294346,9.5907450831801,AWGN,BPSK
0.7046908434596935,98.84551111815507,-4.831451707237005,AWGN,BPSK
26.357005580678045,185.3767623275712,13.444248155461796,Rician,16QAM
-4.775370796408919,289.9148098231112,8.886757534138034,AWGN,BPSK
23.127379680564978,193.94825486675515,4.312868353798658,AWGN,16QAM
13.163505766604043,188.79916376255952,14.264679143856604,Rayleigh,8PSK
